"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3199","TC_04.001.04 |Verify to rename the folder from drop-down menu of the folder element in the breadcrumbs","US_04.001 | Folder > Rename Folder","Sun Mar 09 21:06:48 GMT 2025","passed","Sun Mar 09 21:06:51 GMT 2025","","","",""
"","9773","TC_04.001.02 | Rename folder from drop-down menu","US_04.001 | Folder > Rename Folder","Sun Mar 09 21:06:30 GMT 2025","passed","Sun Mar 09 21:06:39 GMT 2025","","","",""
"","2811","TC_04.001.12 | Verify that there is ""Display Name"" field and hint sign in the Configure section","US_04.001 | Folder > Rename Folder","Sun Mar 09 21:06:58 GMT 2025","passed","Sun Mar 09 21:07:01 GMT 2025","","","",""
"","3209","TC_04.001.10 | Rename folder from drop-down menu","US_04.001 | Folder > Rename Folder","Sun Mar 09 21:06:51 GMT 2025","passed","Sun Mar 09 21:06:54 GMT 2025","","","",""
"","12459","TC_13.001.01 | Create new User via Manage Jenkins left side menu","US_13.001 | Create new User","Sun Mar 09 21:06:36 GMT 2025","passed","Sun Mar 09 21:06:49 GMT 2025","","","",""
"","12757","TC_04.002.03 | Verify that user able to move the folder from drop-down menu of the folder-element on the main page","US_04.002 | Folder > Move Folder to Folder","Sun Mar 09 21:06:56 GMT 2025","passed","Sun Mar 09 21:07:09 GMT 2025","","","",""
"","3499","TC_04.001.11 | Rename a folder on the folder page in the Configure section","US_04.001 | Folder > Rename Folder","Sun Mar 09 21:06:54 GMT 2025","passed","Sun Mar 09 21:06:58 GMT 2025","","","",""
"","3470","TC_04.001.03| Verify that error message is displayed when an invalid folder name is entered in the Rename Folder field","US_04.001 | Folder > Rename Folder","Sun Mar 09 21:06:44 GMT 2025","passed","Sun Mar 09 21:06:47 GMT 2025","","","",""
"","3469","TC_04.001.06 | Successfully enter a valid folder name in the special field","US_04.001 | Folder > Rename Folder","Sun Mar 09 21:06:40 GMT 2025","passed","Sun Mar 09 21:06:44 GMT 2025","","","",""
"","9853","TC_04.003.01 | Verify that the user able to delete folder on a FolderPage","US_04.003 | Folder > Delete Folder","Sun Mar 09 21:07:25 GMT 2025","passed","Sun Mar 09 21:07:35 GMT 2025","","","",""
