"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4018","TC_13.001.01 | Create new User via Manage Jenkins left side menu","US_13.001 | Create new User","Thu Dec 12 11:25:49 GMT 2024","passed","Thu Dec 12 11:25:53 GMT 2024","","","",""
"","957","TC_14.002-08 | Case insensitive search","US_14.002 | Header > Search Box","Thu Dec 12 11:28:45 GMT 2024","passed","Thu Dec 12 11:28:46 GMT 2024","","","",""
"","4116","TC_00.002.01 | Special characters are not allowed in the project name","US_00.002 | New Item > Create Pipeline Project","Thu Dec 12 11:25:12 GMT 2024","passed","Thu Dec 12 11:25:16 GMT 2024","","","",""
"","829","RF_14.003.05 | Header > Log out option | Verify user log out the current session on click ""Log out"" link.","US_14.003 | Header > Log out option","Thu Dec 12 11:28:22 GMT 2024","passed","Thu Dec 12 11:28:23 GMT 2024","","","",""
"","3321","TC_06.001.02 | Can see a Preview of the added Description by clicking on the Preview button","US_06.001 | Organisation folder > Configuration","Thu Dec 12 11:25:45 GMT 2024","passed","Thu Dec 12 11:25:48 GMT 2024","","","",""
"","2051","TC_04.001.06 | Successfully enter a valid folder name in the special field","US_04.001 | Folder > Rename Folder","Thu Dec 12 11:26:44 GMT 2024","passed","Thu Dec 12 11:26:46 GMT 2024","","","",""
"","343","API 3: Get All Brands List (brandsList)","Automation excersize API:","Thu Dec 12 11:25:13 GMT 2024","passed","Thu Dec 12 11:25:13 GMT 2024","","","",""
"","1467","TC_00.002.02 | Pipeline item type is highlighted when selected","US_00.002 | New Item > Create Pipeline Project","Thu Dec 12 11:25:17 GMT 2024","passed","Thu Dec 12 11:25:18 GMT 2024","","","",""
"","2506","TC_00.004.01 | Create Folder using New Item menu link, with unique name and default configuration","US_00.004 | New item > Create Folder","Thu Dec 12 11:26:19 GMT 2024","passed","Thu Dec 12 11:26:22 GMT 2024","","","",""
"","3749","TC_01.004.07 | Verify confirmation appears before deletion","US_01.004 | FreestyleProject > Delete Project","Thu Dec 12 11:26:20 GMT 2024","passed","Thu Dec 12 11:26:23 GMT 2024","","","",""
"","1707","TC_00.001.14 | Create Freestyle Project from the Dashboard Menu","US_00.001 | New item > Create Freestyle Project","Thu Dec 12 11:26:42 GMT 2024","passed","Thu Dec 12 11:26:44 GMT 2024","","","",""
"","4008","TC_01.004.11 | Verify user is able to cancel project deleting","US_01.004 | FreestyleProject > Delete Project","Thu Dec 12 11:25:56 GMT 2024","passed","Thu Dec 12 11:26:00 GMT 2024","","","",""
"","1533","TC_09.001.03 | Verify search suggestion dropdown displays all matches available","US_09.001 | Manage Jenkins > Search settings","Thu Dec 12 11:25:15 GMT 2024","passed","Thu Dec 12 11:25:17 GMT 2024","","","",""
"","1269","TC_14.002.07 | Verify the search box provides auto-completion","US_14.002 | Header > Search Box","Thu Dec 12 11:28:39 GMT 2024","passed","Thu Dec 12 11:28:41 GMT 2024","","","",""
"","2143","TC_00.000.09 | Verify New item can be created from ""Create a job"" button","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:20 GMT 2024","passed","Thu Dec 12 11:27:22 GMT 2024","","","",""
"","2240","TC_02.004.04 | Verify the choice of the pipeline script directly in Jenkins, using the editor","US_02.004 | Pipeline > Pipeline Configuration","Thu Dec 12 11:26:23 GMT 2024","passed","Thu Dec 12 11:26:26 GMT 2024","","","",""
"","32693","TC_09.001_6 | Verify go to required page by click on required item on search suggestion dropdown.","US_09.001 | Manage Jenkins > Search settings","Thu Dec 12 11:25:20 GMT 2024","passed","Thu Dec 12 11:25:53 GMT 2024","","","",""
"","431","API 12.3: DELETE To Delete User Account with invalid details","Automation excersize API CRUD:","Thu Dec 12 11:25:19 GMT 2024","passed","Thu Dec 12 11:25:19 GMT 2024","","","",""
"","1880","TC_00.000.08 | Verify item name does not contain any special characters","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:18 GMT 2024","passed","Thu Dec 12 11:27:19 GMT 2024","","","",""
"","1942","TC_00.000.03 | Create New item | From the ""New Item"" link in the left sidebar","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:06 GMT 2024","passed","Thu Dec 12 11:27:08 GMT 2024","","","",""
"","1851","TC_00.000.10 | Verify that to create a new item, user should choose ""an item type"" first","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:22 GMT 2024","passed","Thu Dec 12 11:27:24 GMT 2024","","","",""
"","260","API 11: POST To Create/Register User Account","Automation excersize API CRUD:","Thu Dec 12 11:25:17 GMT 2024","passed","Thu Dec 12 11:25:18 GMT 2024","","","",""
"","1915","TC_00.000.18 | Create New item from the ""New Item"" link in the left sidebar.","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:29 GMT 2024","passed","Thu Dec 12 11:27:31 GMT 2024","","","",""
"","2365","TC_01.001.09 | Description is shown on project page","US_01.001 | FreestyleProject > Add description","Thu Dec 12 11:25:30 GMT 2024","passed","Thu Dec 12 11:25:32 GMT 2024","","","",""
"","2874","TC_08.001.01 | Build status icon for ""Not built"" Multi-configuration project is shown on ""Dashboard"" page","US_08.001 | Build history > Start to build a project","Thu Dec 12 11:25:34 GMT 2024","passed","Thu Dec 12 11:25:37 GMT 2024","","","",""
"","3983","TC_01.004.15 | Verify user cancels Project deletion","US_01.004 | FreestyleProject > Delete Project","Thu Dec 12 11:26:05 GMT 2024","passed","Thu Dec 12 11:26:09 GMT 2024","","","",""
"","9737","TC_01.002.10 | Receive an Error when the new name is invalid","US_01.002 | FreestyleProject > Rename Project","Thu Dec 12 11:27:30 GMT 2024","passed","Thu Dec 12 11:27:40 GMT 2024","","","",""
"","301","API 13: PUT To Update User Account","Automation excersize API CRUD:","Thu Dec 12 11:25:18 GMT 2024","passed","Thu Dec 12 11:25:19 GMT 2024","","","",""
"","2055","TC_04.001.04 |Verify to rename the folder from drop-down menu of the folder element in the breadcrumbs","US_04.001 | Folder > Rename Folder","Thu Dec 12 11:26:49 GMT 2024","passed","Thu Dec 12 11:26:51 GMT 2024","","","",""
"","4458","TC_09.001.02 | Verify ""No results"" is shown if no settings match the search criteria","US_09.001 | Manage Jenkins > Search settings","Thu Dec 12 11:25:11 GMT 2024","passed","Thu Dec 12 11:25:15 GMT 2024","","","",""
"","3063","TC_01.006.01 | Move project from the Project Page","US_01.006 | FreestyleProject > Move project","Thu Dec 12 11:26:48 GMT 2024","passed","Thu Dec 12 11:26:51 GMT 2024","","","",""
"","1277","API 15: Login registered User (login)","Automation excersize API:","Thu Dec 12 11:25:16 GMT 2024","passed","Thu Dec 12 11:25:17 GMT 2024","","","",""
"","5698","TC_01.001.07 | It is possible to add description on project update","US_01.001 | FreestyleProject > Add description","Thu Dec 12 11:25:32 GMT 2024","passed","Thu Dec 12 11:25:38 GMT 2024","","","",""
"","1324","TC_14.002.09 | Verify that the selection of an auto-complete suggestion redirects to the relevant page","US_14.002 | Header > Search Box","Thu Dec 12 11:28:41 GMT 2024","passed","Thu Dec 12 11:28:42 GMT 2024","","","",""
"","1646","TC_00.001.03 | Create a new Freestyle Project using the ""New Item"" button from the Dashboard","US_00.001 | New item > Create Freestyle Project","Thu Dec 12 11:26:41 GMT 2024","passed","Thu Dec 12 11:26:42 GMT 2024","","","",""
"","1820","TC_06.005.04 | Delete Organization Folder","US_06.005 | Organization folder > Delete Organization Folder","Thu Dec 12 11:26:03 GMT 2024","passed","Thu Dec 12 11:26:05 GMT 2024","","","",""
"","244","API 4: PUT To All Brands List (brandsList)","Automation excersize API:","Thu Dec 12 11:25:13 GMT 2024","passed","Thu Dec 12 11:25:14 GMT 2024","","","",""
"","829","TC_13.003.05 | User can access account settings in the dropdown menu next to the username","US_13.003 | User > Config","Thu Dec 12 11:26:45 GMT 2024","passed","Thu Dec 12 11:26:45 GMT 2024","","","",""
"","1607","TC_00.001.02 | Verify a new freestyle project can be created from the Dahsboard page","US_00.001 | New item > Create Freestyle Project","Thu Dec 12 11:26:44 GMT 2024","passed","Thu Dec 12 11:26:46 GMT 2024","","","",""
"","6143","TC_08.001.01 | Build status icon for ""Not built"" Freestyle project is shown on ""Dashboard"" page","US_08.001 | Build history > Start to build a project","Thu Dec 12 11:25:25 GMT 2024","passed","Thu Dec 12 11:25:31 GMT 2024","","","",""
"","2435","TC-01.002.06| Rename a project name from the Dashboard page","US_01.002 | FreestyleProject > Rename Project","Thu Dec 12 11:27:24 GMT 2024","passed","Thu Dec 12 11:27:27 GMT 2024","","","",""
"","1116","TC_14.003.07 | Verify ""Log out"" button is keyboard-navigable","US_14.003 | Header > Log out option","Thu Dec 12 11:28:24 GMT 2024","passed","Thu Dec 12 11:28:25 GMT 2024","","","",""
"","1430","TC_00.000.14 | Verify the display of validation message if no item name is entered","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:28 GMT 2024","passed","Thu Dec 12 11:27:29 GMT 2024","","","",""
"","1099","TC_00.002.04 | Create Pipeline Project with an empty item name field","US_00.002 | New Item > Create Pipeline Project","Thu Dec 12 11:25:19 GMT 2024","passed","Thu Dec 12 11:25:20 GMT 2024","","","",""
"","4553","TC_14.002.05 | User can select suggestion to auto-fill and complete the search","US_14.002 | Header > Search Box","Thu Dec 12 11:28:34 GMT 2024","passed","Thu Dec 12 11:28:38 GMT 2024","","","",""
"","3405","TC_14.002.15 | Verify suggestions in the search box","US_14.002 | Header > Search Box","Thu Dec 12 11:28:47 GMT 2024","passed","Thu Dec 12 11:28:50 GMT 2024","","","",""
"","2430","TC_06.005.01 | Delete Organization Folder from a sidebar menu","US_06.005 | Organization folder > Delete Organization Folder","Thu Dec 12 11:25:57 GMT 2024","passed","Thu Dec 12 11:25:59 GMT 2024","","","",""
"","4108","TC_01.004.14 | Verify Freestyle Project is deleted from Project page","US_01.004 | FreestyleProject > Delete Project","Thu Dec 12 11:26:00 GMT 2024","passed","Thu Dec 12 11:26:04 GMT 2024","","","",""
"","1603","TC_00.000.12 | Verify redirection to the configure page for the selected item type after clicking ""OK""","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:24 GMT 2024","passed","Thu Dec 12 11:27:25 GMT 2024","","","",""
"","1977","TC_00.000.13 | Verify that after saving, new item is present on dashboard","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:26 GMT 2024","passed","Thu Dec 12 11:27:28 GMT 2024","","","",""
"","11229","TC_01.006.06 | Choose from a list of existing folders","US_01.006 | FreestyleProject > Move project","Thu Dec 12 11:26:36 GMT 2024","passed","Thu Dec 12 11:26:48 GMT 2024","","","",""
"","3354","TC_01.002.02 | Rename a project from the Project Page","US_01.002 | FreestyleProject > Rename Project","Thu Dec 12 11:27:18 GMT 2024","passed","Thu Dec 12 11:27:21 GMT 2024","","","",""
"","6292","TC_16.002.03 | Verify descending sorting in the columns","US_16.002 | Dashboard > Create View","Thu Dec 12 11:26:06 GMT 2024","passed","Thu Dec 12 11:26:12 GMT 2024","","","",""
"","4902","TC_01.004.05 | Cancel deletion","US_01.004 | FreestyleProject > Delete Project","Thu Dec 12 11:25:46 GMT 2024","passed","Thu Dec 12 11:25:51 GMT 2024","","","",""
"","4269","TC_01.004.10 | Verify Freestyle Project is deleted from Dashboard page","US_01.004 | FreestyleProject > Delete Project","Thu Dec 12 11:25:52 GMT 2024","passed","Thu Dec 12 11:25:56 GMT 2024","","","",""
"","1697","Checks the Folder page contains search field","Checking parametrization","Thu Dec 12 11:26:06 GMT 2024","passed","Thu Dec 12 11:26:07 GMT 2024","","","",""
"","30549","TC_01.002-01 | User receives an Error when the new name is invalid","US_01.002 | FreestyleProject > Rename Project","Thu Dec 12 11:27:45 GMT 2024","passed","Thu Dec 12 11:28:15 GMT 2024","","","",""
"","3164","TC_13.003.01 | Edit the profile description from the account settings page by clicking on your username","US_13.003 | User > Config","Thu Dec 12 11:26:41 GMT 2024","passed","Thu Dec 12 11:26:45 GMT 2024","","","",""
"","3859","TC_04.004.04 | Enter a long text in the description field","US_04.004 | Folder > Add or Edit Description of a Folder","Thu Dec 12 11:26:30 GMT 2024","passed","Thu Dec 12 11:26:34 GMT 2024","","","",""
"","236","API 13.1: GET Updated User Account by email","Automation excersize API CRUD:","Thu Dec 12 11:25:19 GMT 2024","passed","Thu Dec 12 11:25:19 GMT 2024","","","",""
"","214","API 12.1: GET Deleted User Account by email","Automation excersize API CRUD:","Thu Dec 12 11:25:20 GMT 2024","passed","Thu Dec 12 11:25:20 GMT 2024","","","",""
"","1993","TC_09.001.04 | Search is case-insensitive","US_09.001 | Manage Jenkins > Search settings","Thu Dec 12 11:25:17 GMT 2024","passed","Thu Dec 12 11:25:19 GMT 2024","","","",""
"","4162","TC_01.006.10 | Verify a project is moved to an existing folder from the Project page","US_01.006 | FreestyleProject > Move project","Thu Dec 12 11:27:05 GMT 2024","passed","Thu Dec 12 11:27:09 GMT 2024","","","",""
"","2591","TC_01.002.04 | Rename a project name from the Dashboard page","US_01.002 | FreestyleProject > Rename Project","Thu Dec 12 11:27:27 GMT 2024","passed","Thu Dec 12 11:27:30 GMT 2024","","","",""
"","5184","TC_16.002.07 | Verify the possibility to configure different column sets for different views","US_16.002 | Dashboard > Create View","Thu Dec 12 11:26:16 GMT 2024","passed","Thu Dec 12 11:26:21 GMT 2024","","","",""
"","4489","TC_00.001.05 | Verify a description can be added when creating a new Freestyle Project","US_00.001 | New item > Create Freestyle Project","Thu Dec 12 11:26:47 GMT 2024","passed","Thu Dec 12 11:26:51 GMT 2024","","","",""
"","6441","TC_02.004.03 | Modify the description field for the pipeline","US_02.004 | Pipeline > Pipeline Configuration","Thu Dec 12 11:26:14 GMT 2024","passed","Thu Dec 12 11:26:20 GMT 2024","","","",""
"","4216","TC_01.001.02 | Add a Description to an Existing Project","US_01.001 | FreestyleProject > Add description","Thu Dec 12 11:25:16 GMT 2024","passed","Thu Dec 12 11:25:21 GMT 2024","","","",""
"","3642","TC_00.002.007 | New Pipeline Project check Item name valid","US_00.002 | New Item > Create Pipeline Project","Thu Dec 12 11:25:27 GMT 2024","passed","Thu Dec 12 11:25:31 GMT 2024","","","",""
"","2682","TC_08.001.02 | The build is triggered from the Multi-configuration project's dropdown menu","US_08.001 | Build history > Start to build a project","Thu Dec 12 11:25:42 GMT 2024","passed","Thu Dec 12 11:25:44 GMT 2024","","","",""
"","2126","TC_00.001.19 | New freestyle project is created if user enter projects name, choose project type and save it","US_00.001 | New item > Create Freestyle Project","Thu Dec 12 11:26:30 GMT 2024","passed","Thu Dec 12 11:26:32 GMT 2024","","","",""
"","716","TC_14.002.11 | Verify that Dashboard page has a Search box on its top right","US_14.002 | Header > Search Box","Thu Dec 12 11:29:02 GMT 2024","passed","Thu Dec 12 11:29:03 GMT 2024","","","",""
"","815","TC_14.003.06 | The logout process should complete within 1 second under normal conditions","US_14.003 | Header > Log out option","Thu Dec 12 11:28:23 GMT 2024","passed","Thu Dec 12 11:28:24 GMT 2024","","","",""
"","953","TC_14.002.06 | Multiple matches are displayed on the result page","US_14.002 | Header > Search Box","Thu Dec 12 11:28:38 GMT 2024","passed","Thu Dec 12 11:28:39 GMT 2024","","","",""
"","713","API 1: Get All Products List (productsList)","Automation excersize API:","Thu Dec 12 11:25:12 GMT 2024","passed","Thu Dec 12 11:25:13 GMT 2024","","","",""
"","1939","TC_06.005.03 | Delete Organization Folder from project status table on Dashboard page","US_06.005 | Organization folder > Delete Organization Folder","Thu Dec 12 11:26:01 GMT 2024","passed","Thu Dec 12 11:26:03 GMT 2024","","","",""
"","1750","TC_00.001.11 | Create Freestyle Project by clicking on Create a Job","US_00.001 | New item > Create Freestyle Project","Thu Dec 12 11:26:37 GMT 2024","passed","Thu Dec 12 11:26:38 GMT 2024","","","",""
"","2347","TC_00.001.06 | Verify a new Freestyle Project can be created from a new Folder","US_00.001 | New item > Create Freestyle Project","Thu Dec 12 11:26:52 GMT 2024","passed","Thu Dec 12 11:26:54 GMT 2024","","","",""
"","3788","TC_01.004.12 | Verify confirmation message appears after attempting to delete a project","US_01.004 | FreestyleProject > Delete Project","Thu Dec 12 11:26:24 GMT 2024","passed","Thu Dec 12 11:26:28 GMT 2024","","","",""
"","1115","TC_14.002.10 | Verify that the warning message is displayed when no matches are found","US_14.002 | Header > Search Box","Thu Dec 12 11:28:44 GMT 2024","passed","Thu Dec 12 11:28:45 GMT 2024","","","",""
"","269","API 12: DELETE To Delete Existing User Account","Automation excersize API CRUD:","Thu Dec 12 11:25:19 GMT 2024","passed","Thu Dec 12 11:25:20 GMT 2024","","","",""
"","2140","TC_04.001.05 | Rename folder from drop-down menu","US_04.001 | Folder > Rename Folder","Thu Dec 12 11:26:51 GMT 2024","passed","Thu Dec 12 11:26:53 GMT 2024","","","",""
"","6651","TC_01.004.04 | FreestyleProject > Delete Project|Delete a project from the Project Page","US_01.004 | FreestyleProject > Delete Project","Thu Dec 12 11:26:09 GMT 2024","passed","Thu Dec 12 11:26:15 GMT 2024","","","",""
"","5430","TC_01.006.09 | Move a project from a folder to the Dashboard page","US_01.006 | FreestyleProject > Move project","Thu Dec 12 11:27:00 GMT 2024","passed","Thu Dec 12 11:27:05 GMT 2024","","","",""
"","1938","TC_14.002.13 | Verify auto-fill suggestions contain the search term","US_14.002 | Header > Search Box","Thu Dec 12 11:28:52 GMT 2024","passed","Thu Dec 12 11:28:54 GMT 2024","","","",""
"","2304","TC_01.002.11 | Rename a project name from the Project Page","US_01.002 | FreestyleProject > Rename Project","Thu Dec 12 11:27:40 GMT 2024","passed","Thu Dec 12 11:27:42 GMT 2024","","","",""
"","235","API 6: POST To Search Product without search_product parameter (searchProduct)","Automation excersize API:","Thu Dec 12 11:25:14 GMT 2024","passed","Thu Dec 12 11:25:14 GMT 2024","","","",""
"","2103","TC_00.000.02 | Create new item from ""Create a job"" button","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:04 GMT 2024","passed","Thu Dec 12 11:27:06 GMT 2024","","","",""
"","2661","TC_08.001.02 | The build is triggered from the Freestyle project's dropdown menu","US_08.001 | Build history > Start to build a project","Thu Dec 12 11:25:37 GMT 2024","passed","Thu Dec 12 11:25:39 GMT 2024","","","",""
"","2594","TC_01.001.08 | Verify the description is added when creating the project","US_01.001 | FreestyleProject > Add description","Thu Dec 12 11:25:27 GMT 2024","passed","Thu Dec 12 11:25:29 GMT 2024","","","",""
"","4387","RF_01.006.07 Verify user is able to move a project from the Project Page","US_01.006 | FreestyleProject > Move project","Thu Dec 12 11:26:51 GMT 2024","passed","Thu Dec 12 11:26:55 GMT 2024","","","",""
"","4214","TC_01.006.05 | Move project from the Dashboard to Folder","US_01.006 | FreestyleProject > Move project","Thu Dec 12 11:26:55 GMT 2024","passed","Thu Dec 12 11:26:59 GMT 2024","","","",""
"","1866","Checks the Multibranch Pipeline page contains search field","Checking parametrization","Thu Dec 12 11:26:08 GMT 2024","passed","Thu Dec 12 11:26:09 GMT 2024","","","",""
"","1778","Checks the Pipeline page contains search field","Checking parametrization","Thu Dec 12 11:26:02 GMT 2024","passed","Thu Dec 12 11:26:04 GMT 2024","","","",""
"","3937","TC_01.004.17 | Delete project from the Project Page","US_01.004 | FreestyleProject > Delete Project","Thu Dec 12 11:26:16 GMT 2024","passed","Thu Dec 12 11:26:20 GMT 2024","","","",""
"","1415","TC_00.002.15 | The url of the configure page contains new project name","US_00.002 | New Item > Create Pipeline Project","Thu Dec 12 11:25:26 GMT 2024","passed","Thu Dec 12 11:25:27 GMT 2024","","","",""
"","2221","TC_08.001.02 | The build is triggered from the Pipeline's dropdown menu","US_08.001 | Build history > Start to build a project","Thu Dec 12 11:25:39 GMT 2024","passed","Thu Dec 12 11:25:42 GMT 2024","","","",""
"","4079","TC_00.000.07 | Verify new item can only be created using unique item names","US_00.000 | New Item > Create New item","Thu Dec 12 11:27:13 GMT 2024","passed","Thu Dec 12 11:27:17 GMT 2024","","","",""
"","273","API 2: POST To All Products List (productsList)","Automation excersize API:","Thu Dec 12 11:25:13 GMT 2024","passed","Thu Dec 12 11:25:13 GMT 2024","","","",""
"","3801","Checks the Freestyle project page contains search field","Checking parametrization","Thu Dec 12 11:25:58 GMT 2024","passed","Thu Dec 12 11:26:02 GMT 2024","","","",""
