"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4550","TC_01.001.01 | Add a description when creating a project","US_01.001 | FreestyleProject > Add description","Fri Dec 06 19:55:56 GMT 2024","passed","Fri Dec 06 19:56:01 GMT 2024","","","",""
"","4339","TC_01.006.10 | Verify a project is moved to an existing folder from the Project page","US_01.006 | FreestyleProject > Move project","Fri Dec 06 19:57:44 GMT 2024","passed","Fri Dec 06 19:57:49 GMT 2024","","","",""
"","927","TC_00.002.04 | Create Pipeline Project with an empty item name field","US_00.002 | New Item > Create Pipeline Project","Fri Dec 06 19:55:58 GMT 2024","passed","Fri Dec 06 19:55:59 GMT 2024","","","",""
"","4346","TC_01.004.07 | Verify confirmation appears before deletion","US_01.004 | FreestyleProject > Delete Project","Fri Dec 06 19:57:06 GMT 2024","passed","Fri Dec 06 19:57:10 GMT 2024","","","",""
"","8594","TC_00.002.15 | The url of the configure page contains new project name","US_00.002 | New Item > Create Pipeline Project","Fri Dec 06 19:56:03 GMT 2024","failed","Fri Dec 06 19:56:12 GMT 2024","","","",""
"","4052","TC_00.000.05 | Create new item from Dashboard dropdown menu","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:28 GMT 2024","passed","Fri Dec 06 19:55:32 GMT 2024","","","",""
"","1155","TC_00.000.14 | Verify the display of validation message if no item name is entered","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:47 GMT 2024","passed","Fri Dec 06 19:55:48 GMT 2024","","","",""
"","1351","TC_00.002.01 | Special characters are not allowed in the project name","US_00.002 | New Item > Create Pipeline Project","Fri Dec 06 19:55:55 GMT 2024","passed","Fri Dec 06 19:55:56 GMT 2024","","","",""
"","1828","TC_04.001.04 |Verify to rename the folder from drop-down menu of the folder element in the breadcrumbs","US_04.001 | Folder > Rename Folder","Fri Dec 06 19:55:47 GMT 2024","broken","Fri Dec 06 19:55:49 GMT 2024","","","",""
"","5344","TC_01.001.03 | Verify updating an existing description","US_01.001 | FreestyleProject > Add description","Fri Dec 06 19:56:05 GMT 2024","passed","Fri Dec 06 19:56:11 GMT 2024","","","",""
"","6325","TC_16.002.01 Create view from the Dashboard page","US_16.002 | Dashboard > Create View","Fri Dec 06 19:55:07 GMT 2024","passed","Fri Dec 06 19:55:13 GMT 2024","","","",""
"","5539","TC_06.001.01 | A Jenkins administrator can change Display Name and Description from empty values by clicking Save button","US_06.001 | Organisation folder > Configuration","Fri Dec 06 19:56:23 GMT 2024","passed","Fri Dec 06 19:56:28 GMT 2024","","","",""
"","3031","TC_00.000.07 | Verify new item can only be created using unique item names","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:34 GMT 2024","passed","Fri Dec 06 19:55:37 GMT 2024","","","",""
"","1766","TC_00.000.06 | Create new item from the ""New Item"" link in the left sidebar","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:32 GMT 2024","passed","Fri Dec 06 19:55:34 GMT 2024","","","",""
"","2072","TC_04.001.06 | Successfully enter a valid folder name in the special field","US_04.001 | Folder > Rename Folder","Fri Dec 06 19:55:43 GMT 2024","passed","Fri Dec 06 19:55:45 GMT 2024","","","",""
"","1254","TC_00.002.02 | Pipeline item type is highlighted when selected","US_00.002 | New Item > Create Pipeline Project","Fri Dec 06 19:55:57 GMT 2024","passed","Fri Dec 06 19:55:58 GMT 2024","","","",""
"","11050","TC_01.006.06 | Choose from a list of existing folders","US_01.006 | FreestyleProject > Move project","Fri Dec 06 19:57:22 GMT 2024","passed","Fri Dec 06 19:57:33 GMT 2024","","","",""
"","4141","RF_01.006.07 Verify user is able to move a project from the Project Page","US_01.006 | FreestyleProject > Move project","Fri Dec 06 19:57:37 GMT 2024","passed","Fri Dec 06 19:57:41 GMT 2024","","","",""
"","2189","TC_06.005.01 | Delete Organization Folder from a sidebar menu","US_06.005 | Organization folder > Delete Organization Folder","Fri Dec 06 19:56:35 GMT 2024","passed","Fri Dec 06 19:56:37 GMT 2024","","","",""
"","6146","TC_02.004.03 | Modify the description field for the pipeline","US_02.004 | Pipeline > Pipeline Configuration","Fri Dec 06 19:56:50 GMT 2024","passed","Fri Dec 06 19:56:56 GMT 2024","","","",""
"","2226","TC_08.001.01 | Verify build status icon for ""Not built"" Pipeline is shown on ""Dashboard"" page","US_08.001 | Build history > Start to build a project","Fri Dec 06 19:54:55 GMT 2024","passed","Fri Dec 06 19:54:57 GMT 2024","","","",""
"","7092","TC_01.004.04 | FreestyleProject > Delete Project|Delete a project from the Project Page","US_01.004 | FreestyleProject > Delete Project","Fri Dec 06 19:56:54 GMT 2024","passed","Fri Dec 06 19:57:01 GMT 2024","","","",""
"","2206","TC_01.001.09 | Description is shown on project page","US_01.001 | FreestyleProject > Add description","Fri Dec 06 19:56:13 GMT 2024","passed","Fri Dec 06 19:56:16 GMT 2024","","","",""
"","3066","TC_00.000.01| Create new item from ""Create a job"" button| Invalid data","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:18 GMT 2024","passed","Fri Dec 06 19:55:21 GMT 2024","","","",""
"","2250","TC_04.001.03| Verify that error message is displayed when an invalid folder name is entered in the Rename Folder field","US_04.001 | Folder > Rename Folder","Fri Dec 06 19:55:45 GMT 2024","passed","Fri Dec 06 19:55:47 GMT 2024","","","",""
"","831","TC_13.003.05 | User can access account settings in the dropdown menu next to the username","US_13.003 | User > Config","Fri Dec 06 19:57:16 GMT 2024","passed","Fri Dec 06 19:57:17 GMT 2024","","","",""
"","2863","TC_08.001.01 | Verify build status icon for ""Not built"" Multi-configuration project is shown on ""Dashboard"" page","US_08.001 | Build history > Start to build a project","Fri Dec 06 19:54:57 GMT 2024","passed","Fri Dec 06 19:55:00 GMT 2024","","","",""
"","1576","TC_00.000.10 | Verify that to create a new item, user should choose ""an item type"" first","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:41 GMT 2024","passed","Fri Dec 06 19:55:43 GMT 2024","","","",""
"","2674","TC_00.000.03 | Create New item | From the ""New Item"" link in the left sidebar","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:25 GMT 2024","passed","Fri Dec 06 19:55:28 GMT 2024","","","",""
"","3527","TC_04.004.04 | Enter a long text in the description field","US_04.004 | Folder > Add or Edit Description of a Folder","Fri Dec 06 19:55:29 GMT 2024","passed","Fri Dec 06 19:55:33 GMT 2024","","","",""
"","1432","TC_00.000.12 | Verify redirection to the configure page for the selected item type after clicking ""OK""","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:43 GMT 2024","passed","Fri Dec 06 19:55:44 GMT 2024","","","",""
"","4477","TC_01.004.17 | Delete project from the Project Page","US_01.004 | FreestyleProject > Delete Project","Fri Dec 06 19:57:01 GMT 2024","passed","Fri Dec 06 19:57:06 GMT 2024","","","",""
"","18","TC_13.003.03 | Change the Appearance of user interface","US_13.003 | User > Config","Fri Dec 06 19:57:17 GMT 2024","skipped","Fri Dec 06 19:57:17 GMT 2024","","","",""
"","3566","TC_01.006.05 | Move project from the Dashboard to Folder","US_01.006 | FreestyleProject > Move project","Fri Dec 06 19:57:41 GMT 2024","passed","Fri Dec 06 19:57:44 GMT 2024","","","",""
"","3774","TC_13.003.02 | Update Profile Description via Config Menu","US_13.003 | User > Config","Fri Dec 06 19:57:09 GMT 2024","passed","Fri Dec 06 19:57:13 GMT 2024","","","",""
"","8237","TC_16.002.03 | Verify descending sorting in the columns","US_16.002 | Dashboard > Create View","Fri Dec 06 19:55:14 GMT 2024","passed","Fri Dec 06 19:55:22 GMT 2024","","","",""
"","3713","TC_00.000.02 | Create new item from ""Create a job"" button","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:21 GMT 2024","passed","Fri Dec 06 19:55:25 GMT 2024","","","",""
"","4284","TC_01.001.02 | Add a Description to an Existing Project","US_01.001 | FreestyleProject > Add description","Fri Dec 06 19:56:01 GMT 2024","passed","Fri Dec 06 19:56:05 GMT 2024","","","",""
"","1786","TC_00.000.09 | Verify New item can be created from ""Create a job"" button","US_00.000 | New Item > Create New item","Fri Dec 06 19:55:39 GMT 2024","passed","Fri Dec 06 19:55:41 GMT 2024","","","",""
"","4658","TC_01.004.11 | Verify user is able to cancel project deleting","US_01.004 | FreestyleProject > Delete Project","Fri Dec 06 19:56:40 GMT 2024","passed","Fri Dec 06 19:56:44 GMT 2024","","","",""
"","6461","TC_08.001.01 | Verify build status icon for ""Not built"" Freestyle project is shown on ""Dashboard"" page","US_08.001 | Build history > Start to build a project","Fri Dec 06 19:54:48 GMT 2024","passed","Fri Dec 06 19:54:55 GMT 2024","","","",""
"","4512","TC_01.004.14 | Verify Freestyle Project is deleted from Project page","US_01.004 | FreestyleProject > Delete Project","Fri Dec 06 19:56:44 GMT 2024","passed","Fri Dec 06 19:56:49 GMT 2024","","","",""
"","2310","TC_01.001.08 | Verify the description is added when creating the project","US_01.001 | FreestyleProject > Add description","Fri Dec 06 19:56:11 GMT 2024","passed","Fri Dec 06 19:56:13 GMT 2024","","","",""
"","2235","TC_00.002.05 | Create Pipeline Project with an already existing name of a project","US_00.002 | New Item > Create Pipeline Project","Fri Dec 06 19:55:59 GMT 2024","passed","Fri Dec 06 19:56:01 GMT 2024","","","",""
"","1913","TC_06.005.03 | Delete Organization Folder from project status table on Dashboard page","US_06.005 | Organization folder > Delete Organization Folder","Fri Dec 06 19:56:39 GMT 2024","passed","Fri Dec 06 19:56:41 GMT 2024","","","",""
"","4448","TC_01.004.15 | Verify user cancels Project deletion","US_01.004 | FreestyleProject > Delete Project","Fri Dec 06 19:56:49 GMT 2024","passed","Fri Dec 06 19:56:54 GMT 2024","","","",""
"","2008","TC_02.004.04 | Verify the choice of the pipeline script directly in Jenkins, using the editor","US_02.004 | Pipeline > Pipeline Configuration","Fri Dec 06 19:57:00 GMT 2024","passed","Fri Dec 06 19:57:02 GMT 2024","","","",""
"","1762","TC_00.002.14 | Create Pipeline Project","US_00.002 | New Item > Create Pipeline Project","Fri Dec 06 19:56:01 GMT 2024","passed","Fri Dec 06 19:56:03 GMT 2024","","","",""
